# Shared test vectors. Both implementations must reproduce every row.
#
# Tab-separated. Lines starting with '#' are comments; blank lines are ignored.
#
# name       a label, for test output
# format     the format string
# base       output base
# precision  -1 minute, 0 second, 1 millisecond (the CLI default is 0)
# clock_ms   the injected clock, in milliseconds since the Unix epoch UTC
# env        injected state and options, '-' for none (see below)
# expected   the identifier
#
# The clock is always injected in milliseconds; coarser precisions truncate
# toward zero, and the truncation rows below pin that down.
#
# The env column is a comma-separated list of key=value pairs. Unset keys take
# the defaults shown, so a row only states what it cares about:
#
#   host=testhost                 %h, the short host name
#   user=testuser                 %u, the user name
#   fqdn=testhost.example.com     %f, the fully-qualified name
#   mac=02005E100000              %m, 48 bits of hex, no separators
#   rand=                         the random stream %g and %r draw from, hex
#   nohash=0                      1 turns hashing off for %h %u %f
#   hashchars=                    symbols kept from a hashed component; unset
#                                 means the derived default for the base
#   randchars=                    symbols %r emits; unset likewise
#
# Component rules, in full, because the vectors are the spec:
#
#   %d  the clock as the precision's unit count since the Unix epoch UTC
#   %h  %u  %f  SHA-256 of the raw name, hex uppercase, converted from base 16;
#       the rightmost hashchars symbols. With nohash=1 the name goes out
#       literally instead, unconverted and unpadded.
#   %m  the MAC as a 48-bit number, converted from base 16
#   %g  16 bytes drawn from the random stream with the UUID v4 version and
#       variant bits forced, converted from base 16 as a 128-bit number
#   %r  enough bytes drawn from the random stream to fill randchars symbols,
#       converted from base 16; the rightmost randchars symbols. One byte per
#       symbol covers any base up to 256 symbols; above that a symbol carries
#       more than eight bits, so the draw is ceil(randchars * bits / 8) instead
#       and the leading symbol still varies.
#
# %g and %r draw from the stream in the order they appear in the format.
#
# Output is zero-padded to a fixed width per component, chosen to hold that
# component's largest value: the horizon year 3000 for %d, 48 bits for %m, 128
# bits for %g. Padding uses each alphabet's zero digit, which for 32w is '2'
# rather than '0'.
#
# A hashed or random component is sized the same way, from a target strength
# rather than a value: 47 bits for %h %u %f and 35 for %r, which is what eight
# and six base-62 symbols have always carried. So the width follows the base -
# 12 and 9 symbols in base 16, 5 and 4 in 2048tz - and the strength does not.
# hashchars and randchars override it.
#
# A hashed component cannot be wider than a SHA-256 fills in the base, since
# past that point it is only left-fill: 64 symbols in base 16 down to 24 in
# 2048tz. Asking for more is an error rather than a longer identifier carrying
# no more fingerprint.
#
# Fixed width is what makes byte-order sort match chronological order, and it
# also lets a multi-component identifier be split by offset. Identifiers of
# different precisions have different widths and do not sort against each
# other - same caveat as mixing bases.
#
# Width is counted in symbols throughout, never in bytes. The wide bases at the
# end of this file, 64tt and up, have digits of two to four bytes each, so
# every padded and every truncated component there also pins down that the cut
# falls on a symbol boundary rather than mid-digit.
#
# name	format	base	precision	clock_ms	env	expected
time-ms-epoch	%d	16	1	0	-	000000000000
time-ms-epoch	%d	32w	1	0	-	222222222
time-ms-epoch	%d	36	1	0	-	000000000
time-ms-epoch	%d	62	1	0	-	00000000
time-ms-epoch+1ms	%d	16	1	1	-	000000000001
time-ms-epoch+1ms	%d	32w	1	1	-	222222223
time-ms-epoch+1ms	%d	36	1	1	-	000000001
time-ms-epoch+1ms	%d	62	1	1	-	00000001
time-ms-y2k	%d	16	1	946684800000	-	00DC6ACFAC00
time-ms-y2k	%d	32w	1	946684800000	-	2qVfJxH22
time-ms-y2k	%d	36	1	946684800000	-	0C2WFOQO0
time-ms-y2k	%d	62	1	946684800000	-	0GfLcwXQ
time-ms-design-date	%d	16	1	1785585600000	-	019FBD320600
time-ms-design-date	%d	32w	1	1785585600000	-	3XwwX63R2
time-ms-design-date	%d	36	1	1785585600000	-	0MSABKAO0
time-ms-design-date	%d	62	1	1785585600000	-	0VR2tCvw
time-ms-design-date+1ms	%d	16	1	1785585600001	-	019FBD320601
time-ms-design-date+1ms	%d	32w	1	1785585600001	-	3XwwX63R3
time-ms-design-date+1ms	%d	36	1	1785585600001	-	0MSABKAO1
time-ms-design-date+1ms	%d	62	1	1785585600001	-	0VR2tCvx
time-ms-horizon-eve	%d	16	1	32503679999999	-	1D8FDA4CDFFF
time-ms-horizon-eve	%d	32w	1	32503679999999	-	vVxM6mhxx
time-ms-horizon-eve	%d	36	1	32503679999999	-	BIRZFUNZZ
time-ms-horizon-eve	%d	62	1	32503679999999	-	9EFDkpVn
time-s-epoch	%d	16	0	0	-	000000000
time-s-epoch	%d	32w	0	0	-	2222222
time-s-epoch	%d	36	0	0	-	0000000
time-s-epoch	%d	62	0	0	-	000000
time-s-epoch+999ms	%d	16	0	999	-	000000000
time-s-epoch+999ms	%d	32w	0	999	-	2222222
time-s-epoch+999ms	%d	36	0	999	-	0000000
time-s-epoch+999ms	%d	62	0	999	-	000000
time-s-epoch+1s	%d	16	0	1000	-	000000001
time-s-epoch+1s	%d	32w	0	1000	-	2222223
time-s-epoch+1s	%d	36	0	1000	-	0000001
time-s-epoch+1s	%d	62	0	1000	-	000001
time-s-y2k	%d	16	0	946684800000	-	0386D4380
time-s-y2k	%d	32w	0	946684800000	-	2r8pRr2
time-s-y2k	%d	36	0	946684800000	-	0FNMQO0
time-s-y2k	%d	62	0	946684800000	-	124Bxg
time-s-design-date	%d	16	0	1785585600000	-	06A6DDFC0
time-s-design-date	%d	32w	0	1785585600000	-	3f8qhw2
time-s-design-date	%d	36	0	1785585600000	-	0TJ3AO0
time-s-design-date	%d	62	0	1785585600000	-	1wq8Nk
time-s-horizon-eve	%d	16	0	32503679999999	-	7915ECBFF
